x,y
0.150000,   0.740422
0.222449,   0.366578
0.294898,   0.088307
0.367347,  -0.103702
0.439796,  -0.218758
0.512245,  -0.266171
0.584694,  -0.255248
0.657143,  -0.195301
0.729592,  -0.095638
0.802041,   0.034432
0.874490,   0.185599
0.946939,   0.348554
1.019388,   0.513987
1.091837,   0.672590
1.164286,   0.815052
1.236735,   0.932065
1.309184,   1.015588
1.381633,   1.066466
1.454082,   1.089338
1.526531,   1.088860
1.598980,   1.069688
1.671429,   1.036477
1.743878,   0.993881
1.816327,   0.946054
1.888776,   0.894546
1.961224,   0.840074
2.033673,   0.783354
2.106122,   0.725102
2.178571,   0.666034
2.251020,   0.606866
2.323469,   0.548313
2.395918,   0.491092
2.468367,   0.435919
2.540816,   0.383509
2.613265,   0.334578
2.685714,   0.289843
2.758163,   0.250019
2.830612,   0.215822
2.903061,   0.187968
2.975510,   0.167173
3.047959,   0.154154
3.120408,   0.149625
3.192857,   0.154303
3.265306,   0.168903
3.337755,   0.194142
3.410204,   0.230736
3.482653,   0.279400
3.555102,   0.340851
3.627551,   0.415804
3.700000,   0.504975
